time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-09-03 11:55:10,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1691.232169605,0.328084,0,0,0,6,0,0,1691.232169605,0,0,0,0,0,0,114.4, 5.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,267.9,-48,-17.7,100,4.299,4.302,4.302,4.3,0,0,0,87.71,1691.232169605,0,41,Motors_Started,
100,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,0,1691.232169605,0,0,0,0,0,0,114.6, 5.8, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267.7,-48.1,-17.8,100,4.299,4.302,4.302,4.3,0,0,0,87.71,1691.232169605,0,41,Motors_Started,
200,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.2, 5.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,267.7,-48,-17.8,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 239. Setting new Maximum Flight Altitude to 30m (98 ft)"
300,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.4, 5.9, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,267.6,-48.1,-17.8,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
400,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.3,0,0,364,364,364,1684,-100,-100,-100,100,267.5,-48.1,-17.8,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
500,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.4, 5.9, 0.4,0,0,364,364,364,1684,-100,-100,-100,100,267.4,-48.1,-17.8,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
600,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,368,364,364,1682,-99,-100,-100,100,267.4,-48,-17.6,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
700,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.4, 5.9, 0.4,0,0,834,716,840,1337,-29,-47,-28,47,267.3,-48.1,-17.7,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
800,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267.2,-48.1,-17.6,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
900,2025-09-03 11:55:10,0,0,0,,,1691.232169605,0.328084,0,0,0,6,0,17.104,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267.2,-48,-17.5,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
1000,2025-09-03 11:55:11,0,0,0,,,1691.232169605,0.328084,0,0,0,5,0,17.104,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267.1,-48,-17.4,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
1100,2025-09-03 11:55:11,0,0,0,,,1691.232169605,0.328084,0,0,0,5,0,17.104,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267.1,-48,-17.4,100,4.299,4.302,4.302,4.3,0,0,1.41,87.71,1691.232169605,0,41,Motors_Started,
1200,2025-09-03 11:55:11,0,0,0,,,1691.232169605,0.328084,0,0,0,5,0,17.014,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267,-48,-17.5,100,4.299,4.302,4.303,4.299,0,0,1.558,87.71,1691.232169605,0,41,Motors_Started,
1300,2025-09-03 11:55:11,0,0,0,,,1691.232169605,0.328084,0,0,0,5,0,17.014,1691.232169605,0,0,0,0,0,0,114.3, 5.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,266.9,-48,-17.4,100,4.299,4.302,4.303,4.299,0,0,1.558,87.71,1691.232169605,0,41,Motors_Started,
1400,2025-09-03 11:55:11,0,0,0,,,1691.232169605,0.328084,0,0,0,5,0,17.014,1691.232169605,0,0,0,0,0,0,114.3, 6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,267,-47.9,-17.3,100,4.299,4.302,4.303,4.299,0,0,1.558,87.71,1691.232169605,0,41,Motors_Started,
