time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
361500,2025-09-03 15:28:16,48.1487795008271,11.5722206134504,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1692.9252546329,0.328084,0,0,0,9,4,0,1692.9252546329,0,0,0,0,0,0,261.7, -1.2, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,303.8,-35.2,-38.1,64,3.937,3.939,3.939,3.918,0,0,0,129.11,1692.9252546329,0,41,Motors_Started,
361600,2025-09-03 15:28:16,48.1487794798006,11.5722206475706,0,,,1692.9252546329,0.328084,0,0.0113065292332,0.0113065292332,9,4,0,1692.9252546329,0,0,0.0113065292332,0,0,0,261.9, -1.2, -3.6,0,0,395,364,364,1684,-95,-100,-100,100,303.7,-35.2,-38.1,64,3.937,3.939,3.939,3.918,0,0,0,129.11,1692.9252546329,0,41,Motors_Started,
361700,2025-09-03 15:28:16,48.1487794730328,11.5722206936889,0,,,1692.9252546329,0.328084,0,0.0220077762948,0.022801345874,9,4,0,1692.9252546329,0,0,0.0220077762948,0,0,0,261.7, -1.2, -3.6,0,0,893,805,694,1396,-20,-33,-50,56,303.5,-35.3,-38.1,64,3.937,3.939,3.939,3.918,0,0,0,129.11,1692.9252546329,0,41,Motors_Started,
361800,2025-09-03 15:28:16,48.1487795174633,11.5722207959788,0,,,1692.9252546329,0.328084,0,0.044845145792,0.05251312504,10,4,0,1692.9252546329,0,0,0.044845145792,0,0,0,261.7, -1.2, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,303.4,-35.4,-38.1,64,3.937,3.939,3.939,3.918,0,0,0,129.11,1692.9252546329,0,41,Motors_Started,
361900,2025-09-03 15:28:16,48.1487795228307,11.5722208521887,0,,,1692.9252546329,0.328084,0,0.058667324712,0.066335632044,10,4,0,1692.9252546329,0,0,0.058667324712,0,0,0,261.7, -1.2, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,303.4,-35.4,-38.2,64,3.937,3.939,3.939,3.918,0,0,0,129.11,1692.9252546329,0,41,Motors_Started,
362000,2025-09-03 15:28:16,48.1487795284064,11.5722209096248,0,,,1692.9252546329,0.328084,0,0.072795606004,0.08046424142,10,4,15.664,1692.9252546329,0,0,0.072795606004,0,0,0,261.7, -1.2, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,303.3,-35.5,-38,64,3.937,3.939,3.939,3.918,0,0,1.62,129.11,1692.9252546329,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 244. Setting new Maximum Flight Altitude to 500m (1640 ft)"
362100,2025-09-03 15:28:16,48.1487795338845,11.5722210071064,0,,,1692.9252546329,0.328084,0,16.2542328036,0.104277890476,10,4,15.664,1692.9252546329,0,0,16.2542328036,0,0,0,261.7, -1.2, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,303.3,-35.5,-38.1,64,3.937,3.939,3.939,3.918,0,0,1.62,129.11,1692.9252546329,0,41,Motors_Started,
362200,2025-09-03 15:28:16,48.1487795877013,11.5722212618937,0,,,1692.9252546329,0.328084,0,16.30741522,0.16933399492,10,4,15.664,1692.9252546329,0,0,16.30741522,0,0,0,261.6, -1.2, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,303,-35.7,-38,64,3.937,3.939,3.939,3.918,0,0,1.62,129.11,1692.9252546329,0,41,Motors_Started,
362300,2025-09-03 15:28:16,48.1487795478761,11.5722213811891,0,,,1692.9252546329,0.328084,0,16.3135503908,0.20180610882,10,4,15.664,1692.9252546329,0,0,16.3135503908,0,0,0,261.7, -1.2, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,303,-35.7,-38,64,3.937,3.939,3.939,3.918,0,0,1.62,129.11,1692.9252546329,0,41,Motors_Started,
362400,2025-09-03 15:28:16,48.1487794959809,11.5722215057806,0,,,1692.9252546329,0.328084,0,16.3169952728,0.237559718888,10,4,15.664,1692.9252546329,0,0,16.3169952728,0,0,0,261.6, -1.3, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,302.8,-35.7,-38.1,64,3.937,3.939,3.939,3.918,0,0,1.62,129.11,1692.9252546329,0,41,Motors_Started,
362500,2025-09-03 15:28:17,48.1487794305044,11.5722216225787,0,,,1692.9252546329,0.328084,0,16.315453278,0.274695546848,10,4,15.664,1692.9252546329,0,0,16.3169952728,0,0,0,261.6, -1.2, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,303,-35.6,-38.1,64,3.937,3.939,3.939,3.918,0,0,1.62,129.11,1692.9252546329,0,41,Motors_Started,
