time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-09-03 06:05:50,48.1487543032028,11.5721590846596,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1692.8559691976,0.656168,0,0,0,11,4,0,1692.8559691976,0,0,0,0,0,0,111.7, -1.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,303,-20,-43.9,98,4.267,4.265,4.264,4.26,0,0,0,76.91,1692.8559691976,0,41,Motors_Started,
100,2025-09-03 06:05:50,48.1487542093247,11.5721590446895,0,,,1692.8559691976,0.656168,0,0.035606628436,0.035606628436,11,4,16.987,1692.8559691976,0,0,0.035606628436,0,0,0,111.5, -1.5, 0.1,0,0,370,364,364,1684,-99,-100,-100,100,302.9,-20.2,-44.1,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 233. Setting new Maximum Flight Altitude to 150m (492 ft)"
200,2025-09-03 06:05:50,48.1487541132424,11.5721589945973,0,,,1692.8559691976,0.656168,0,0.07269193146,0.072722443272,11,4,16.987,1692.8559691976,0,0,0.07269193146,0,0,0,111.6, -1.5, 0.1,0,0,661,540,604,1510,-55,-73,-64,74,302.9,-20.2,-44.1,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
300,2025-09-03 06:05:50,48.1487539758139,11.5721588283222,0,,,1692.8559691976,0.656168,0,0.134764440008,0.137161421712,11,4,16.987,1692.8559691976,0,0,0.134764440008,0,0,0,111.6, -1.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,302.8,-20.2,-44.1,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
400,2025-09-03 06:05:51,48.1487538744408,11.5721587951006,0,,,1692.8559691976,0.656168,0,0.171580386068,0.175021002976,11,4,16.987,1692.8559691976,0,0,0.171580386068,0,0,0,111.6, -1.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,302.7,-20.3,-44.1,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
500,2025-09-03 06:05:51,48.1487537667763,11.5721587843341,0,,,1692.8559691976,0.656168,0,0.208923563116,0.21438977064,11,4,16.987,1692.8559691976,0,0,0.208923563116,0,0,0,111.6, -1.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,302.7,-20.3,-44,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
600,2025-09-03 06:05:51,48.148753691337,11.5721587858232,0,,,1692.8559691976,0.656168,0,0.234792330348,0.24191601824,11,4,16.987,1692.8559691976,0,0,0.234792330348,0,0,0,111.6, -1.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,302.5,-20.4,-44.1,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
700,2025-09-03 06:05:51,48.1487536360928,11.5721587959385,0,,,1692.8559691976,0.656168,0,0.253338918868,0.262221793168,11,4,16.987,1692.8559691976,0,0,0.253338918868,0,0,0,111.6, -1.5, 0,0,0,1024,1024,1024,1024,0,0,0,0,302.5,-20.4,-44.1,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
800,2025-09-03 06:05:51,48.1487536240375,11.5721589068599,0,,,1692.8559691976,0.656168,0,0.251544627472,0.289579077508,11,4,16.987,1692.8559691976,0,0,0.253338918868,0,0,0,111.6, -1.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,302.3,-20.5,-44.2,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
900,2025-09-03 06:05:51,48.1487535336124,11.5721589218999,0,,,1692.8559691976,0.656168,0,0.28356628204,0.322772976208,11,4,16.987,1692.8559691976,0,0,0.28356628204,0,0,0,111.6, -1.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,302.4,-20.4,-44,98,4.267,4.265,4.264,4.26,0,0,1.374,76.91,1692.8559691976,0,41,Motors_Started,
