time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
350300,2025-09-03 07:42:07,48.1489063138513,11.5726401022446,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1692.9360679535,0.328084,0,0,0,8,2,0,1692.9360679535,0,0,0,0,0,0,118.3, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,67,3.985,3.991,3.992,3.983,0,0,0,112.91,1692.9360679535,0,41,Motors_Started,
350400,2025-09-03 07:42:07,48.1489064602028,11.572641019377,0,,,1692.9360679535,0.328084,0,0.229550860364,0.229550860364,8,2,0,1692.9360679535,0,0,0.229550860364,0,0,0,117.8, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.7,-8.1,-22.1,67,3.985,3.991,3.992,3.983,0,0,0,112.91,1692.9360679535,0,41,Motors_Started,
350500,2025-09-03 07:42:08,48.148906622435,11.5726419667588,0,,,1692.9360679535,0.328084,0,0.46762796772,0.46764437192,8,2,0,1692.9360679535,0,0,0.46762796772,0,0,0,118.1, -2.3, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.7,-8.1,-22.1,67,3.985,3.991,3.992,3.983,0,0,0,112.91,1692.9360679535,0,41,Motors_Started,
350600,2025-09-03 07:42:08,48.1489067708969,11.5726428885904,0,,,1692.9360679535,0.328084,0,0.69846787012,0.69848755516,8,2,15.857,1692.9360679535,0,0,0.69846787012,0,0,0,118.1, -2.3, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.6,-8.1,-22.1,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 234. Setting new Maximum Flight Altitude to 150m (492 ft)"
350700,2025-09-03 07:42:08,48.1489069195674,11.5726438100112,0,,,1692.9360679535,0.328084,0,112.775922244,0.9292487174,8,2,15.857,1692.9360679535,0,0,112.775922244,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.5,-8.1,-22.2,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
350800,2025-09-03 07:42:08,48.1489070686286,11.5726447322793,0,,,1692.9360679535,0.328084,0,113.006237212,1.16024938096,8,2,15.857,1692.9360679535,0,0,113.006237212,0,0,0,118.1, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.5,-8.1,-22.2,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
350900,2025-09-03 07:42:08,48.1489072182435,11.572645656422,0,,,1692.9360679535,0.328084,0,113.237208348,1.39173560884,8,2,15.857,1692.9360679535,0,0,113.237208348,0,0,0,118.2, -2.4, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,14.4,-8.2,-22.2,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351000,2025-09-03 07:42:08,48.1489073835306,11.5726466009021,0,,,1692.9360679535,0.328084,0,113.474741164,1.62942590516,8,2,15.857,1692.9360679535,0,0,113.474741164,0,0,0,118.2, -2.4, 0.4,0,0,365,364,364,1684,-100,-100,-100,100,14.3,-8.2,-22.3,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351100,2025-09-03 07:42:08,48.1489075376074,11.5726475359581,0,,,1692.9360679535,0.328084,0,113.70899314,1.86388129324,8,2,15.857,1692.9360679535,0,0,113.70899314,0,0,0,118.2, -2.3, 0.5,0,0,612,488,451,1622,-62,-81,-87,91,14.3,-8.2,-22.4,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351200,2025-09-03 07:42:08,48.1489076919774,11.5726484722724,0,,,1692.9360679535,0.328084,0,113.943245116,2.09866148448,8,2,15.857,1692.9360679535,0,0,113.943245116,0,0,0,118.2, -2.4, 0.5,0,0,1024,1007,895,1280,0,-3,-20,39,14.2,-8.3,-22.3,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351300,2025-09-03 07:42:08,48.1489078462497,11.5726494100247,0,,,1692.9360679535,0.328084,0,114.177825176,2.33377304056,8,2,15.857,1692.9360679535,0,0,114.177825176,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.2,-8.2,-22.4,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351400,2025-09-03 07:42:08,48.1489079858269,11.5726503026599,0,,,1692.9360679535,0.328084,0,114.400594212,2.55694890072,8,2,15.857,1692.9360679535,0,0,114.400594212,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14.1,-8.2,-22.4,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351500,2025-09-03 07:42:09,48.1489081378063,11.5726512322465,0,,,1692.9360679535,0.328084,0,114.633205768,2.78993119164,8,2,15.857,1692.9360679535,0,0,114.633205768,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,14,-8.3,-22.3,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351600,2025-09-03 07:42:09,48.148908289675,11.5726521639643,0,,,1692.9360679535,0.328084,0,114.866145408,3.02340560856,8,2,15.915,1692.9360679535,0,0,114.866145408,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,13.9,-8.3,-22.4,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351700,2025-09-03 07:42:09,48.1489084416414,11.5726530978135,0,,,1692.9360679535,0.328084,0,115.099741216,3.25739511736,8,2,15.915,1692.9360679535,0,0,115.099741216,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,13.9,-8.3,-22.4,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,41,Motors_Started,
351800,2025-09-03 07:42:09,48.1489085935231,11.572654055672,0,,,1692.9360679535,0.328084,0,115.338914452,3.497047356,8,2,15.915,1692.9360679535,0,0,115.338914452,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,13.9,-8.3,-22.4,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,10,Assisted_Takeoff,
351900,2025-09-03 07:42:09,48.1489087458087,11.5726549958381,0,,,1692.9360679535,0.328084,0,115.57415068,3.7325788596,8,2,15.915,1692.9360679535,0,0,115.57415068,0,0,0,118.2, -2.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,13.7,-8.4,-22.5,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,10,Assisted_Takeoff,
352000,2025-09-03 07:42:09,48.1489088980356,11.5726559365691,0,,,1692.9360679535,0.328084,0,115.809386908,3.9682087884,8,2,15.915,1692.9360679535,0,0,115.809386908,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,13.7,-8.3,-22.6,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,10,Assisted_Takeoff,
352100,2025-09-03 07:42:09,48.1489090502039,11.5726568776339,0,,,1692.9360679535,0.328084,0,116.044623136,4.203904334,8,2,15.915,1692.9360679535,0,0,116.044623136,0,0,0,118.2, -2.4, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,13.6,-8.4,-22.6,67,3.985,3.991,3.992,3.983,0,0,1.694,112.91,1692.9360679535,0,10,Assisted_Takeoff,
