DateTime,predicted_NO2
2025-09-03 00:00:00,2.8749413
2025-09-03 00:00:03,2.868577
2025-09-03 00:00:06,2.8435068
2025-09-03 00:00:09,2.8157458
2025-09-03 00:00:12,2.781279
2025-09-03 00:00:15,2.7953181
2025-09-03 00:00:18,2.7954535
2025-09-03 00:00:21,2.7900157
2025-09-03 00:00:24,2.8343477
2025-09-03 00:00:27,2.7977586
2025-09-03 00:00:30,2.847847
2025-09-03 00:00:33,2.8542361
2025-09-03 00:00:36,2.839635
2025-09-03 00:00:39,2.8074458
2025-09-03 00:00:42,2.7362666
2025-09-03 00:00:45,2.7844129
2025-09-03 00:00:48,2.7608135
2025-09-03 00:00:51,2.7175145
2025-09-03 00:00:54,2.6993008
2025-09-03 00:00:57,2.6995907
2025-09-03 00:01:00,2.6767573
2025-09-03 00:01:03,2.82798
2025-09-03 00:01:06,2.8795214
2025-09-03 00:01:09,2.9189115
2025-09-03 00:01:12,2.850615
2025-09-03 00:01:15,2.9158816
2025-09-03 00:01:18,2.8945792
2025-09-03 00:01:21,2.952445
2025-09-03 00:01:24,2.9886231
2025-09-03 00:01:27,3.045802
2025-09-03 00:01:30,3.074018
2025-09-03 00:01:33,3.0694842
2025-09-03 00:01:36,3.1137614
2025-09-03 00:01:39,3.1389384
2025-09-03 00:01:42,3.1692219
2025-09-03 00:01:45,3.169042
2025-09-03 00:01:48,3.1759863
2025-09-03 00:01:51,3.171259
2025-09-03 00:01:54,3.1363754
2025-09-03 00:01:57,3.1620164
2025-09-03 00:02:00,3.1985373
2025-09-03 00:02:03,3.2488503
2025-09-03 00:02:06,3.2572036
2025-09-03 00:02:09,3.3052053
2025-09-03 00:02:12,3.31536
2025-09-03 00:02:15,3.3347816
2025-09-03 00:02:18,3.3791566
2025-09-03 00:02:21,3.4580393
2025-09-03 00:02:24,3.4443808
2025-09-03 00:02:27,3.4771647
2025-09-03 00:02:30,3.3990178
2025-09-03 00:02:33,3.349238
2025-09-03 00:02:36,3.3109155
2025-09-03 00:02:39,3.2590418
2025-09-03 00:02:42,3.2452059
2025-09-03 00:02:45,3.1993508
2025-09-03 00:02:48,3.0685012
2025-09-03 00:02:51,3.0121498
2025-09-03 00:02:54,3.019206
2025-09-03 00:02:57,2.9907808
2025-09-03 00:03:00,2.9882627
2025-09-03 00:03:03,3.00694
2025-09-03 00:03:06,3.0146747
2025-09-03 00:03:09,2.9496827
2025-09-03 00:03:12,2.9587917
2025-09-03 00:03:15,2.952006
2025-09-03 00:03:18,2.9592166
2025-09-03 00:03:21,2.9399621
2025-09-03 00:03:24,2.9024663
2025-09-03 00:03:27,2.966795
2025-09-03 00:03:30,3.1064525
2025-09-03 00:03:33,3.1060753
2025-09-03 00:03:36,3.2006016
2025-09-03 00:03:39,3.2216315
2025-09-03 00:03:42,3.2537718
2025-09-03 00:03:45,3.277851
2025-09-03 00:03:48,3.346181
2025-09-03 00:03:51,3.3409224
2025-09-03 00:03:54,3.3292103
2025-09-03 00:03:57,3.3500276
2025-09-03 00:04:00,3.4285002
2025-09-03 00:04:03,3.5046816
2025-09-03 00:04:06,3.4758282
2025-09-03 00:04:09,3.5733862
2025-09-03 00:04:12,3.5451822
2025-09-03 00:04:15,3.5732923
2025-09-03 00:04:18,3.5613694
2025-09-03 00:04:21,3.5891175
2025-09-03 00:04:24,3.57586
2025-09-03 00:04:27,3.598156
2025-09-03 00:04:30,3.6054153
2025-09-03 00:04:33,3.5469146
2025-09-03 00:04:36,3.5514317
2025-09-03 00:04:39,3.5921993
2025-09-03 00:04:42,3.5133238
2025-09-03 00:04:45,3.5780735
2025-09-03 00:04:48,3.552753
2025-09-03 00:04:51,3.5612326
2025-09-03 00:04:54,3.596603
2025-09-03 00:04:57,3.5577288
