time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-09-03 16:16:51,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1693.1493304275,0.656168,0,0,0,6,0,0,1693.1493304275,0,0,0,0,0,0,275.9, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.8,-4,-27.9,100,4.3,4.305,4.3,4.302,0,0,0,85.91,1693.1493304275,0,41,Motors_Started,
100,2025-09-03 16:16:51,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,0,1693.1493304275,0,0,0,0,0,0,276.5, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.8,-3.9,-28,100,4.3,4.305,4.3,4.302,0,0,0,85.91,1693.1493304275,0,41,Motors_Started,
200,2025-09-03 16:16:51,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,0,1693.1493304275,0,0,0,0,0,0,276.2, -4.2, -1.7,0,0,509,422,451,1624,-78,-91,-87,91,311.7,-3.9,-27.9,100,4.3,4.305,4.3,4.302,0,0,0,85.91,1693.1493304275,0,41,Motors_Started,
300,2025-09-03 16:16:51,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.3, -4.2, -1.7,0,0,1024,1000,1010,1062,0,-4,-2,6,311.7,-3.9,-27.9,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 245. Setting new Maximum Flight Altitude to 30m (98 ft)"
400,2025-09-03 16:16:51,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.3, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.7,-3.9,-28,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
500,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.2, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.6,-4,-27.9,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
600,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.3, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.5,-4,-27.9,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
700,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.2, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.4,-4,-28,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
800,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.2, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.3,-4,-28.1,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
900,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.3, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.2,-4.2,-28,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
1000,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.3, -4.3, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.1,-4.2,-28,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
1100,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.3, -4.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.1,-4.1,-28,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
1200,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.082,1693.1493304275,0,0,0,0,0,0,276.2, -4.3, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,311.1,-4.1,-28.1,100,4.3,4.305,4.3,4.302,0,0,1.628,85.91,1693.1493304275,0,41,Motors_Started,
1300,2025-09-03 16:16:52,0,0,0,,,1693.1493304275,0.656168,0,0,0,6,0,17.181,1693.1493304275,0,0,0,0,0,0,276.2, -4.3, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,310.9,-4.2,-28.1,100,4.3,4.304,4.3,4.302,0,0,1.63,85.91,1693.1493304275,0,41,Motors_Started,
