time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-09-03 10:57:06,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1689.8498673954,0.328084,0,0,0,6,0,0,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,280.3,-18.4,-29.8,98,4.285,4.293,4.297,4.303,0,0,0,91.31,1689.8498673954,0,6,P-GPS,
100,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,0,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,280.1,-18.6,-30,98,4.285,4.293,4.297,4.303,0,0,0,91.31,1689.8498673954,0,41,Motors_Started,
200,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,0,1689.8498673954,0,0,0,0,0,0,189.8, -1.6, -0.3,0,0,366,364,364,1684,-100,-100,-100,100,279.9,-18.6,-30,98,4.285,4.293,4.297,4.303,0,0,0,91.31,1689.8498673954,0,41,Motors_Started,
300,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,0,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,471,423,415,1626,-84,-91,-92,91,279.8,-18.6,-30,98,4.285,4.293,4.297,4.303,0,0,0,91.31,1689.8498673954,0,41,Motors_Started,
400,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,975,998,1120,0,-7,-4,15,279.8,-18.6,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 238. Setting new Maximum Flight Altitude to 150m (492 ft)"
500,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.8,-18.6,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
600,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.6, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.7,-18.6,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
700,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.5,-18.7,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
800,2025-09-03 10:57:06,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.4,-18.8,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
900,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.4,-18.8,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
1000,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.2,-18.9,-30.2,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
1100,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.2,-19,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
1200,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.2,-18.9,-30.2,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
1300,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.062,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.1,-19,-30.3,98,4.285,4.293,4.297,4.303,0,0,1.356,91.31,1689.8498673954,0,41,Motors_Started,
1400,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279,-19,-30.4,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,41,Motors_Started,
1500,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.6, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.1,-19,-30.1,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,41,Motors_Started,
1600,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.6, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.9,-19,-30.2,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
1700,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.6,-19.1,-30.4,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
1800,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.6, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.8,-19,-30.3,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
1900,2025-09-03 10:57:07,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.6, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.7,-19,-30.4,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2000,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.6,-19.1,-30.4,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2100,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.6,-19.1,-30.4,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2200,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.6,-19.1,-30.3,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2300,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.178,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.5,-19.1,-30.3,98,4.285,4.293,4.297,4.303,0,0,1.36,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2400,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.4,-19.2,-30.4,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2500,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.2,-19.2,-30.4,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2600,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.1,-19.2,-30.5,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2700,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278.1,-19.3,-30.5,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2800,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,278,-19.3,-30.5,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
2900,2025-09-03 10:57:08,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,277.9,-19.3,-30.5,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3000,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,277.8,-19.4,-30.6,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3100,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,277.7,-19.4,-30.6,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3200,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.7,-19.4,-30.6,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3300,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.047,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.5,-19.5,-30.6,98,4.25,4.26,4.262,4.261,0,0,4.434,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3400,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.5,-19.5,-30.6,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3500,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.4,-19.5,-30.6,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3600,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.4,-19.5,-30.6,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3700,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.3,-19.6,-30.6,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3800,2025-09-03 10:57:09,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.2,-19.6,-30.7,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
3900,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277.1,-19.6,-30.7,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4000,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,277,-19.6,-30.7,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4100,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.9,-19.7,-30.7,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4200,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.9,-19.6,-30.5,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4300,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.114,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.8,-19.7,-30.7,98,4.25,4.26,4.262,4.261,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4400,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.7,-19.8,-30.7,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4500,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.7,-19.8,-30.8,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4600,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.7,-19.8,-30.8,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4700,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.5,-19.8,-30.8,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4800,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,276.4,-19.9,-30.8,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
4900,2025-09-03 10:57:10,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1199,1024,0,0,27,0,276.4,-19.9,-30.9,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5000,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1209,1024,0,0,28,0,276.2,-19.9,-30.9,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5100,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.4,0,0,1024,1024,1205,1024,0,0,27,0,276.3,-19.9,-30.9,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5200,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.6, -0.5,0,0,1024,1024,1205,1024,0,0,27,0,276.1,-20,-30.8,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5300,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.118,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.5,0,0,1024,1024,1202,1024,0,0,27,0,276.3,-20,-30.7,98,4.273,4.282,4.284,4.293,0,0,2.006,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5400,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.037,1689.8498673954,0,0,0,0,0,0,189.7, -1.7, -0.5,0,0,1024,1024,1203,1024,0,0,27,0,276.1,-20.1,-30.7,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5500,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.037,1689.8498673954,0,0,0,0,0,0,189.7, -1.8, -0.5,0,0,1024,1024,1202,1024,0,0,27,0,276.2,-20.3,-30.8,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5600,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.037,1689.8498673954,0,0,0,0,0,0,189.7, -2, -0.6,0,0,1024,1024,1205,1024,0,0,27,0,276.1,-20.6,-30.8,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5700,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.037,1689.8498673954,0,0,0,0,0,0,189.7, -2.4, -0.5,0,0,1024,1024,1200,1024,0,0,27,0,275.9,-21.3,-30.3,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5800,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.037,1689.8498673954,0,0,0,0,0,0,189.7, -3.2, -0.4,0,0,1024,1024,1201,1024,0,0,27,0,275.9,-21.3,-30.3,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
5900,2025-09-03 10:57:11,0,0,0,,,1689.8498673954,0.328084,0,0,0,6,0,17.037,1689.8498673954,0,0,0,0,0,0,189.6, -4.9, -0.5,0,0,1024,1024,1200,1024,0,0,27,0,276.6,-22.6,-30.6,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
6000,2025-09-03 10:57:12,0,0,0,,,1689.8498673954,0.328084,0.223694,0,0,6,0,17.037,1689.8498673954,0,0.223694,0,-0.223694,0,0,189.2, -7.5, -0.4,0,0,1024,1024,1200,1024,0,0,27,0,276.9,-25.6,-30.1,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
6100,2025-09-03 10:57:12,0,0,0,,,1689.8498673954,0.328084,0.447388,0,0,6,0,17.037,1689.8498673954,0,0.447388,0,-0.447388,0,0,188.7, -9, 0.5,0,0,1024,1024,1201,1024,0,0,27,0,276.6,-26.5,-28.5,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,10,Assisted_Takeoff,
6200,2025-09-03 10:57:12,0,0,0,,,1689.8498673954,0.656168,0.671082,0,0,6,0,17.037,1689.8498673954,0,0.671082,0,-0.671082,0,-0.223694,188.3, -8, 1.4,0,0,1024,1024,1197,1024,0,0,26,0,276.3,-25.7,-27.1,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,6,P-GPS,
6300,2025-09-03 10:57:12,0,0,0,,,1689.8498673954,0.656168,0.894776,0,0,6,0,17.037,1689.8498673954,0,0.894776,0,-0.894776,0,-0.671082,188.4, -3.5, 0.8,0,0,1024,1024,1194,1024,0,0,26,0,275.6,-21.7,-28.5,98,4.275,4.284,4.287,4.293,0,0,1.89,91.31,1689.8498673954,0,6,P-GPS,
6400,2025-09-03 10:57:12,0,0,0.328084,,,1690.1779513954,0.984252,0.894776,0,0,6,0,16.8,1690.1779513954,0.328084,0.894776,0,-0.894776,0,-0.894776,188.5, 3.1, -0.1,0,0,1024,1024,1189,1024,0,0,25,0,274,-15.1,-28.6,98,4.252,4.258,4.256,4.253,0,0,2.484,91.31,1690.1779513954,0.328084,6,P-GPS,
6500,2025-09-03 10:57:12,0,0,0.328084,,,1690.1779513954,0.984252,0.671082,0,0,6,0,16.8,1690.1779513954,0.328084,0.894776,0,-0.671082,0,-1.342164,188.5, 6.9, 0.4,0,0,1024,1024,1175,1024,0,0,23,0,272.8,-14.4,-28.5,98,4.252,4.258,4.256,4.253,0,0,2.484,91.31,1690.1779513954,0.328084,6,P-GPS,
6600,2025-09-03 10:57:12,0,0,0.656168,,,1690.5060353954,1.312336,0.447388,0,0,5,0,16.8,1690.5060353954,0.656168,0.894776,0,-0.447388,0,-1.342164,188.6, 6.6, -0.2,0,0,1024,1024,1172,1024,0,0,22,0,273.7,-16.4,-28,98,4.252,4.258,4.256,4.253,0,0,2.484,91.31,1690.5060353954,0.656168,6,P-GPS,
6700,2025-09-03 10:57:12,0,0,0.656168,,,1690.5060353954,1.312336,0.223694,0,0,5,0,16.8,1690.5060353954,0.656168,0.894776,0,-0.223694,0,-1.565858,188.9, 4.3, 0,0,0,1024,1024,1167,1024,0,0,22,0,276.1,-17.7,-29,98,4.252,4.258,4.256,4.253,0,0,2.484,91.31,1690.5060353954,0.656168,6,P-GPS,
6800,2025-09-03 10:57:12,0,0,0.984252,,,1690.8341193954,1.64042,0,0,0,5,0,16.8,1690.8341193954,0.984252,0.894776,0,0,0,-1.342164,188.9, 1.9, 0.5,0,0,1024,1024,1166,1024,0,0,22,0,275.8,-20.3,-28.3,98,4.252,4.258,4.256,4.253,0,0,2.484,91.31,1690.8341193954,0.984252,6,P-GPS,
6900,2025-09-03 10:57:13,0,0,1.312336,,,1691.1622033954,1.64042,0,0,0,5,0,16.8,1691.1622033954,1.312336,0.894776,0,0,0,-1.342164,188.9, 0.1, 0.8,0,0,1024,1024,1173,1024,0,0,23,0,274,-22.6,-26.8,98,4.252,4.258,4.256,4.253,0,0,2.484,91.31,1691.1622033954,1.312336,6,P-GPS,
