time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-09-03 08:22:07,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1693.3768107497,0.328084,0,0,0,5,0,0,1693.3768107497,0,0,0,0,0,0,114.8, 1.3, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,339.1,-1,-14.6,94,4.237,4.244,4.247,4.248,0,0,0,93.11,1693.3768107497,0,41,Motors_Started,
100,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,0,1693.3768107497,0,0,0,0,0,0,115.3, 1.4, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,339.1,-0.8,-14.6,94,4.237,4.244,4.247,4.248,0,0,0,93.11,1693.3768107497,0,41,Motors_Started,
200,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,0,1693.3768107497,0,0,0,0,0,0,115.1, 1.4, -3.4,0,0,365,364,364,1684,-100,-100,-100,100,338.9,-0.9,-14.3,94,4.237,4.244,4.247,4.248,0,0,0,93.11,1693.3768107497,0,41,Motors_Started,
300,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,0,1693.3768107497,0,0,0,0,0,0,115, 1.4, -3.4,0,0,541,449,497,1593,-73,-87,-80,86,338.8,-0.9,-14.3,94,4.237,4.244,4.247,4.248,0,0,0,93.11,1693.3768107497,0,41,Motors_Started,
400,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.4, -3.4,0,0,1024,962,1023,1066,0,-9,-0,6,338.8,-0.9,-14.3,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 236. Setting new Maximum Flight Altitude to 30m (98 ft)"
500,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.4, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,338.8,-0.9,-14.4,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
600,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.4, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,338.7,-0.9,-14.4,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
700,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,338.6,-0.8,-14.5,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
800,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,338.5,-0.9,-14.5,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
900,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,338.5,-0.9,-14.4,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
1000,2025-09-03 08:22:08,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.6, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,338.4,-0.8,-14.6,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
1100,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.656168,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.6, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,338.3,-0.8,-14.7,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
1200,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,338.3,-0.8,-14.7,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
1300,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.85,1693.3768107497,0,0,0,0,0,0,115, 1.6, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,338.1,-0.9,-14.8,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
1400,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.6, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,338.1,-0.8,-14.8,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,41,Motors_Started,
1500,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.6, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,338.2,-0.9,-14.9,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
1600,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,338.1,-0.9,-14.9,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
1700,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,338.1,-0.9,-14.9,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
1800,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,337.9,-0.9,-14.9,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
1900,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.4, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.9,-1,-15,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2000,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,5,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.9,-0.9,-15.1,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2100,2025-09-03 08:22:09,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.7,-1,-15.1,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2200,2025-09-03 08:22:10,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.7,-1,-15.1,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2300,2025-09-03 08:22:10,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.938,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.7,-0.9,-15.2,94,4.237,4.244,4.247,4.248,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2400,2025-09-03 08:22:10,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.718,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.6,-1,-15.4,94,4.196,4.22,4.218,4.21,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2500,2025-09-03 08:22:10,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.718,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.5,-1,-15.3,94,4.196,4.22,4.218,4.21,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2600,2025-09-03 08:22:10,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.718,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.6,0,0,1024,1024,1024,1024,0,0,0,0,337.5,-1,-15.4,94,4.196,4.22,4.218,4.21,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
2700,2025-09-03 08:22:10,0,0,0,,,1693.3768107497,0.328084,0,0,0,6,0,16.718,1693.3768107497,0,0,0,0,0,0,115, 1.5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,337.4,-1,-15.5,94,4.196,4.22,4.218,4.21,0,0,1.574,93.11,1693.3768107497,0,10,Assisted_Takeoff,
